blogId,blogUrl,nickname,groupIds,groupNames,isInfluencer,influencerId,influencerUrl
"withnesta","https://blog.naver.com/withnesta","중도","2","06.투자","N","",""
"smileru","https://blog.naver.com/smileru","가미투","2","06.투자","N","",""
"glory4u_lee","https://blog.naver.com/glory4u_lee","화양연화","2","06.투자","N","",""
"hackviper654","https://blog.naver.com/hackviper654","Charlie Jung","13","04.Diligent","N","",""
"tirael","https://blog.naver.com/tirael","현자토끼","2","06.투자","N","",""
"rladudrl78","https://blog.naver.com/rladudrl78","봄날의 곰","16","08.Macro","N","",""
"redwoodinsight","https://blog.naver.com/redwoodinsight","레드우드","2","06.투자","N","",""
"untildie44","https://blog.naver.com/untildie44","언틸","2","06.투자","N","",""
"nim025","https://blog.naver.com/nim025","YJ THINK","2","06.투자","N","",""
"cy2863","https://blog.naver.com/cy2863","습관","15","07.Feed","N","",""
"pokara61","https://blog.naver.com/pokara61","pokara61","2","06.투자","N","",""
"bambooinvesting","https://blog.naver.com/bambooinvesting","모소밤부","7","02.Insight","N","",""
"sungdory","https://blog.naver.com/sungdory","승도리","2","06.투자","N","",""
"jindori7","https://blog.naver.com/jindori7","행인 7","2","06.투자","N","",""
"hellowheesun","https://blog.naver.com/hellowheesun","뚜벅이","2","06.투자","N","",""
"mlyuri","https://blog.naver.com/mlyuri","고집스런가치투자","7","02.Insight","N","",""
"npjoa","https://blog.naver.com/npjoa","엔팔좋아","3","09.해외투자","N","",""
"iampoohoo","https://blog.naver.com/iampoohoo","생각하는사자","2","06.투자","N","",""
"jeunkim","https://blog.naver.com/jeunkim","피우스","13","04.Diligent","N","",""
"soulate701","https://blog.naver.com/soulate701","재구리","2","06.투자","N","",""
"kmsmir04","https://blog.naver.com/kmsmir04","유수암바람","17","05.Influncer","Y","kmsmir04","https://in.naver.com/kmsmir04"
"redserpent","https://blog.naver.com/redserpent","라틴카페","2","06.투자","N","",""
"jkhan012","https://blog.naver.com/jkhan012","천상천하","15","07.Feed","N","",""
"tama2020","https://blog.naver.com/tama2020","솔로몬","13","04.Diligent","N","",""
"enppo","https://blog.naver.com/enppo","프로택트","2","06.투자","N","",""
"onion_asset","https://blog.naver.com/onion_asset","양파","2","06.투자","N","",""
"gaunyu","https://blog.naver.com/gaunyu","낙민동 추노","2","06.투자","N","",""
"juliuschun","https://blog.naver.com/juliuschun","juliuschun","8","10.Youtuber","N","",""
"arsjj","https://blog.naver.com/arsjj","세라피나","2","06.투자","N","",""
"love392722","https://blog.naver.com/love392722","깡토","7","02.Insight","N","",""
"bizucafe","https://blog.naver.com/bizucafe","BZCF","2","06.투자","N","",""
"thegeneralfox","https://blog.naver.com/thegeneralfox","generalfox","2","06.투자","N","",""
"businessinsight","https://blog.naver.com/businessinsight","인터비즈","15","07.Feed","N","",""
"opushk","https://blog.naver.com/opushk","최이지","2","06.투자","N","",""
"how2invest","https://blog.naver.com/how2invest","미래에셋증권","4","11.증권사","N","",""
"gmyhhj","https://blog.naver.com/gmyhhj","인상주의","2","06.투자","N","",""
"keonlee0324","https://blog.naver.com/keonlee0324","정석","2","06.투자","N","",""
"hanadtsec","https://blog.naver.com/hanadtsec","하나증권","4","11.증권사","N","",""
"yoonwoo1","https://blog.naver.com/yoonwoo1","memories","2","06.투자","N","",""
"going_tothe_moon","https://blog.naver.com/going_tothe_moon","고잉투더문","7","02.Insight","Y","tothemoon","https://in.naver.com/tothemoon"
"tenbagger10x","https://blog.naver.com/tenbagger10x","씹배","2","06.투자","N","",""
"lskjhc","https://blog.naver.com/lskjhc","Master your Space","17","05.Influncer","Y","lskjhc","https://in.naver.com/lskjhc"
"investor_life","https://blog.naver.com/investor_life","LEVERAGE","2","06.투자","N","",""
"jsi4914","https://blog.naver.com/jsi4914","지댕","2","06.투자","N","",""
"ranto28","https://blog.naver.com/ranto28","메르","1","01.Daily","N","",""
"good-trader","https://blog.naver.com/good-trader","굿트레이더","13","04.Diligent","Y","j_future","https://in.naver.com/j_future"
"khiro38","https://blog.naver.com/khiro38","워렌넝구","17","05.Influncer","Y","khiro37","https://in.naver.com/khiro37"
"leebisu","https://blog.naver.com/leebisu","Henry","2","06.투자","N","",""
"butterdaddy","https://blog.naver.com/butterdaddy","버터대디","2","06.투자","N","",""
"illther2","https://blog.naver.com/illther2","일트","2","06.투자","N","",""
"jelkajelka","https://blog.naver.com/jelkajelka","리얼라이즈","15","07.Feed","N","",""
"shinook430","https://blog.naver.com/shinook430","북회귀선","2","06.투자","N","",""
"wkwn70","https://blog.naver.com/wkwn70","베가스풍류객","17","05.Influncer","Y","vegastooza","https://in.naver.com/vegastooza"
"dicecasts","https://blog.naver.com/dicecasts","지적호기심","17","05.Influncer","Y","dicecasts","https://in.naver.com/dicecasts"
"santa_village","https://blog.naver.com/santa_village","선물주는산타","2","06.투자","N","",""
"i0178704","https://blog.naver.com/i0178704","이똑디","2","06.투자","N","",""
"mynameisdj","https://blog.naver.com/mynameisdj","김단테","7","02.Insight","Y","kimdante","https://in.naver.com/kimdante"
"thingschange_","https://blog.naver.com/thingschange_","Bluewater","7","02.Insight","N","",""
"kjg321","https://blog.naver.com/kjg321","월가 쿼카","2","06.투자","N","",""
"cy0098","https://blog.naver.com/cy0098","비욘드맨","2","06.투자","N","",""
"ghdtjr1212","https://blog.naver.com/ghdtjr1212","착한곰","2","06.투자","N","",""
"studying-investor","https://blog.naver.com/studying-investor","공부하는 투자자","2","06.투자","N","",""
"firetiger580","https://blog.naver.com/firetiger580","대구의현인","2","06.투자","N","",""
"jp187","https://blog.naver.com/jp187","골드핑거","2","06.투자","N","",""
"wonderppuri","https://blog.naver.com/wonderppuri","원더뿌리","2","06.투자","N","",""
"zcsal","https://blog.naver.com/zcsal","정타만친다","2","06.투자","N","",""
"future100k","https://blog.naver.com/future100k","인라밸","2","06.투자","N","",""
"nicker0122","https://blog.naver.com/nicker0122","니커","2","06.투자","N","",""
"mosma_1982","https://blog.naver.com/mosma_1982","6숭이","2","06.투자","N","",""
"mok7593","https://blog.naver.com/mok7593","루시오","2","06.투자","N","",""
"cybermw","https://blog.naver.com/cybermw","좋은친구","13","04.Diligent","N","",""
"deskhunter","https://blog.naver.com/deskhunter","우용용","2","06.투자","N","",""
"jhlimidea","https://blog.naver.com/jhlimidea","동물원","2","06.투자","N","",""
"jounwooben02","https://blog.naver.com/jounwooben02","Aso","2","06.투자","N","",""
"ddqa4","https://blog.naver.com/ddqa4","빌리언스","2","06.투자","N","",""
"dnjsrlid","https://blog.naver.com/dnjsrlid","웡키","2","06.투자","N","",""
"asuranet","https://blog.naver.com/asuranet","투덜이형","2","06.투자","N","",""
"s1kkw","https://blog.naver.com/s1kkw","우산","1","01.Daily","N","",""
"samsung_fn","https://blog.naver.com/samsung_fn","삼성증권","4","11.증권사","N","",""
"ssummaeul","https://blog.naver.com/ssummaeul","섬마을투자자","2","06.투자","N","",""
"soonupp","https://blog.naver.com/soonupp","전광석화","2","06.투자","N","",""
"ohhanjoo","https://blog.naver.com/ohhanjoo","오호선","2","06.투자","N","",""
"dlaldhr0821","https://blog.naver.com/dlaldhr0821","GSVI","7","02.Insight","N","",""
"james_lee_advisors","https://blog.naver.com/james_lee_advisors","James Lee","14","03.정리","Y","jameslee","https://in.naver.com/jameslee"
"lhd1371","https://blog.naver.com/lhd1371","한걸음","7","02.Insight","N","",""
"dkim0210","https://blog.naver.com/dkim0210","꿈단지","2","06.투자","N","",""
"zest258","https://blog.naver.com/zest258","프록시마","2","06.투자","N","",""
"wkosin","https://blog.naver.com/wkosin","차니쓰","2","06.투자","N","",""
"freestrong","https://blog.naver.com/freestrong","수승화강","2","06.투자","N","",""
"ass3931","https://blog.naver.com/ass3931","자유인","2","06.투자","N","",""
"pillion21","https://blog.naver.com/pillion21","알바트로스","7","02.Insight","N","",""
"skel7800","https://blog.naver.com/skel7800","YellowGreen","2","06.투자","N","",""
"audistar","https://blog.naver.com/audistar","콤디티","2","06.투자","N","",""
"cashcat_90","https://blog.naver.com/cashcat_90","Cash Cat","2","06.투자","N","",""
"moneysonata","https://blog.naver.com/moneysonata","머니소나타","2","06.투자","N","",""
"energyinfo","https://blog.naver.com/energyinfo","energyinfo","17","05.Influncer","Y","energyinfo","https://in.naver.com/energyinfo"
"niteline","https://blog.naver.com/niteline","제이디","2","06.투자","N","",""
"hardark","https://blog.naver.com/hardark","hardark","7","02.Insight","N","",""
"ryankim1106","https://blog.naver.com/ryankim1106","라이언K","2","06.투자","N","",""
"capist23","https://blog.naver.com/capist23","캐피스트","2","06.투자","N","",""
"llzard","https://blog.naver.com/llzard","성공을 바라본다","2","06.투자","N","",""
"frame8717","https://blog.naver.com/frame8717","홍성현의 가치평가","2","06.투자","N","",""
"badajr","https://blog.naver.com/badajr","Bora","2","06.투자","N","",""
"winterrush","https://blog.naver.com/winterrush","안젤라","","","N","",""
"likearoma","https://blog.naver.com/likearoma","호향기","","","N","",""
